0000	E8
220B	96
220C	CF
220D	53
220E	7D
220F	01
2210	74
2211	B7
2212	E4
2213	AB
2214	0C
2215	C4
2216	86
2217	3D
2218	81
2219	75
221A	24
221B	FB
221C	3C
221D	BB
221E	A9
221F	18
2220	BB
2221	1E
2222	8C
2223	E1
2224	BC
2225	43
2226	8C
2227	A4
2228	B5
2229	3D
222A	49
222B	F1
222C	9F
222D	21
222E	1B
222F	22
2230	BA
2231	13
2232	0D
2233	12
2234	1D
2235	22
2236	C9
2237	5D
2238	25
2239	ED
223A	80
223B	10
223C	FA
223D	25
223E	9B
223F	7F
2240	00
2241	82
2242	D8
2243	D3
2244	B5
2245	7A
2246	0B
2247	76
2248	8B
2249	BE
224A	02
224B	A9
224C	63
224D	AE
224E	72
224F	A7
2250	3C
2251	7E
2252	DB
2253	66
2254	81
2255	85
2256	6B
2257	F4
2258	99
2259	A3
225A	D7
225B	BF
225C	CA
225D	7B
225E	CD
225F	2C
2260	A7
2261	BF
2262	45
2263	A9
2264	84
2265	34
2266	6D
2267	92
2268	62
2269	BB
226A	8D
226B	D5
226C	D7
226D	6A
226E	6E
226F	7D
2270	F6
2271	E7
2272	03
2273	D8
2274	D3
2275	71
2276	2E
2277	27
2278	4A
2279	B1
227A	7B
227B	EA
227C	8B
227D	BC
227E	D1
227F	67
2280	FC
2281	7C
2282	90
2283	C0
2284	3B
2285	0D
2286	28
2287	B0
2288	F5
2289	DF
228A	33
228B	56
228C	BE
228D	5B
228E	1A
228F	C0
2290	C5
2291	6E
2292	4D
2293	55
2294	FB
2295	30
2296	0B
2297	B3
2298	20
2299	99
229A	04
229B	BB
229C	59
229D	80
229E	CC
229F	96
22A0	6C
22A1	22
22A2	BE
22A3	D1
22A4	7A
22A5	EA
22A6	28
22A7	4A
22A8	C6
22A9	6B
22AA	22
22AB	B1
22AC	E8
22AD	4D
22AE	3C
22AF	C7
22B0	D0
22B1	F4
22B2	BB
22B3	3D
22B4	35
22B5	01
22B6	20
22B7	4B
22B8	F1
22B9	37
22BA	FB
22BB	24
22BC	0C
22BD	44
22BE	3C
22BF	5C
22C0	92
22C1	CF
22C2	8F
22C3	B3
22C4	3F
22C5	39
22C6	61
22C7	E3
22C8	C5
22C9	06
22CA	05
22CB	06
22CC	F4
22CD	CA
22CE	37
22CF	11
22D0	52
22D1	D1
22D2	04
22D3	07
22D4	CE
22D5	D1
22D6	55
22D7	F1
22D8	BB
22D9	C8
22DA	07
22DB	9D
22DC	D6
22DD	C5
22DE	4F
22DF	13
22E0	1E
22E1	23
22E2	73
22E3	94
22E4	F5
22E5	11
22E6	83
22E7	C0
22E8	C6
22E9	9F
22EA	F1
22EB	87
22EC	1F
22ED	C1
22EE	D2
22EF	DE
22F0	B3
22F1	AA
22F2	2C
22F3	28
22F4	E0
22F5	89
22F6	9B
22F7	88
22F8	A3
22F9	D4
22FA	81
22FB	44
22FC	16
22FD	73
22FE	67
22FF	2A
2300	C9
2301	89
2302	79
2303	4B
2304	2C
2305	69
2306	11
2307	04
2308	D9
2309	81
230A	71
230B	79
230C	01
230D	54
230E	87
230F	BE
2310	4F
2311	26
2312	90
2313	93
2314	04
2315	F1
2316	B6
2317	1B
2318	84
2319	80
231A	4E
231B	32
231C	0A
231D	91
231E	CE
231F	27
2320	B0
2321	4D
2322	7B
2323	A1
2324	52
2325	E7
2326	38
2327	2A
2328	B2
2329	19
232A	E9
232B	57
232C	99
232D	26
232E	03
232F	E1
2330	B2
2331	B3
2332	DD
2333	3A
2334	5F
2335	AE
2336	11
2337	69
2338	0D
2339	46
233A	FE
233B	32
233C	ED
233D	F8
233E	0E
233F	EE
2340	D6
2341	DA
2342	2C
2343	CB
2344	E7
2345	1B
2346	5F
2347	6B
2348	E5
2349	96
234A	ED
234B	20
234C	32
234D	12
234E	25
234F	B8
2350	C4
2351	58
2352	ED
2353	4A
2354	E2
2355	14
2356	3B
2357	8F
2358	96
2359	C2
235A	0D
235B	0D
235C	04
235D	92
235E	21
235F	FE
2360	8B
2361	4A
2362	7D
2363	0E
2364	4B
2365	5B
2366	F8
2367	C2
2368	78
2369	6D
236A	73
236B	97
236C	47
236D	09
236E	92
236F	70
2370	CB
2371	34
2372	93
2373	E9
2374	7A
2375	21
2376	E2
2377	83
2378	00
2379	C3
237A	A6
237B	75
237C	D2
237D	3A
237E	13
237F	B9
2380	E9
2381	83
2382	BE
2383	B9
2384	C8
2385	C9
2386	07
2387	01
2388	47
2389	25
238A	A5
238B	17
238C	DC
238D	DB
238E	57
238F	DD
2390	C5
2391	40
2392	32
2393	85
2394	4C
2395	F7
2396	59
2397	92
2398	06
2399	60
239A	0E
239B	F6
239C	C3
239D	72
239E	32
239F	C5
23A0	0D
23A1	6A
23A2	9E
23A3	44
23A4	5B
23A5	E3
23A6	B1
23A7	EC
23A8	B2
23A9	25
23AA	33
23AB	3E
23AC	03
23AD	3C
23AE	40
23AF	8A
23B0	03
23B1	C7
23B2	04
23B3	85
23B4	C3
23B5	D5
23B6	91
23B7	26
23B8	14
23B9	17
23BA	1B
23BB	27
23BC	81
23BD	B0
23BE	75
23BF	6E
23C0	03
23C1	3A
23C2	F2
23C3	14
23C4	B4
23C5	74
23C6	37
23C7	29
23C8	98
23C9	E1
23CA	BB
23CB	1F
23CC	7C
23CD	5E
23CE	25
23CF	E5
23D0	82
23D1	86
23D2	C4
23D3	9D
23D4	9D
23D5	FB
23D6	4A
23D7	77
23D8	22
23D9	99
23DA	88
23DB	93
23DC	39
23DD	F0
23DE	72
23DF	39
23E0	AC
23E1	BA
23E2	B7
23E3	B2
23E4	75
23E5	40
23E6	1F
23E7	DD
23E8	4D
23E9	35
23EA	0E
23EB	3B
23EC	F5
23ED	C9
23EE	2C
23EF	D8
23F0	90
23F1	C3
23F2	26
23F3	8A
23F4	1A
23F5	69
23F6	EF
23F7	CC
23F8	14
23F9	A2
23FA	1D
23FB	3F
23FC	95
23FD	12
23FE	C1
23FF	34
2400	6E
2401	11
2402	48
2403	D3
2404	E2
2405	4F
2406	19
2407	03
2408	86
2409	77
240A	EF
240B	41
240C	00
240D	C4
240E	AD
240F	70
2410	0F
2411	67
2412	16
2413	D5
2414	2A
2415	A2
2416	BF
2417	B9
2418	C3
2419	9C
241A	09
241B	42
241C	4D
241D	3A
241E	3F
241F	15
2420	F1
2421	76
2422	BC
2423	98
2424	F1
2425	0C
2426	4C
2427	8C
2428	EA
2429	68
242A	75
242B	35
242C	68
242D	B0
242E	FF
242F	46
2430	A9
2431	A6
2432	B5
2433	19
2434	73
2435	81
2436	54
2437	98
2438	BA
2439	34
243A	B6
243B	10
243C	BB
243D	B0
243E	7F
243F	6C
2440	94
2441	6A
2442	4B
2443	0F
2444	5B
2445	58
2446	20
2447	D3
2448	E6
2449	6B
244A	43
244B	EE
244C	A7
244D	F0
244E	C9
244F	53
2450	F7
2451	17
2452	1E
2453	A1
2454	17
2455	87
2456	73
2457	43
2458	CD
2459	15
245A	83
245B	33
245C	8F
245D	B2
245E	AC
245F	A3
2460	7D
2461	02
2462	A2
2463	A7
2464	38
2465	A2
2466	6F
2467	C7
2468	90
2469	89
246A	CC
246B	37
246C	4C
246D	4C
246E	79
246F	45
2470	03
2471	F9
2472	0A
2473	39
2474	30
2475	FA
2476	E0
2477	EF
2478	B9
2479	C1
247A	4B
247B	73
247C	FE
247D	CD
247E	DF
247F	5D
2480	A7
2481	56
2482	03
2483	ED
2484	06
2485	D9
2486	03
2487	2C
2488	D5
2489	44
248A	4C
248B	62
248C	3A
248D	68
248E	D7
248F	0D
2490	C7
2491	95
2492	2C
2493	76
2494	3F
2495	4F
2496	0F
2497	DA
2498	27
2499	CD
249A	7A
249B	64
249C	EA
249D	DF
249E	A2
249F	D9
24A0	85
24A1	D9
24A2	35
24A3	A8
24A4	08
24A5	60
24A6	6A
24A7	DD
24A8	A4
24A9	11
24AA	3D
24AB	B4
24AC	BF
24AD	8D
24AE	1F
24AF	D1
24B0	52
24B1	F6
24B2	44
24B3	C6
24B4	65
24B5	16
24B6	B5
24B7	09
24B8	41
24B9	FC
24BA	AA
24BB	37
24BC	D1
24BD	38
24BE	B2
24BF	CC
24C0	37
24C1	FE
24C2	88
24C3	3A
24C4	2D
24C5	C3
24C6	5E
24C7	50
24C8	79
24C9	0A
24CA	B4
24CB	D1
24CC	FF
24CD	27
24CE	2D
24CF	5A
24D0	C7
24D1	AC
24D2	21
24D3	04
24D4	FB
24D5	4D
24D6	00
24D7	72
24D8	B4
24D9	01
24DA	AA
24DB	32
24DC	C4
24DD	4F
24DE	03
24DF	C9
24E0	2B
24E1	14
24E2	8B
24E3	32
24E4	11
24E5	AD
24E6	12
24E7	14
24E8	98
24E9	A7
24EA	B1
24EB	47
24EC	B1
24ED	AB
24EE	60
24EF	78
24F0	1D
24F1	81
24F2	10
24F3	7C
24F4	33
24F5	D7
24F6	6C
24F7	D1
24F8	EE
24F9	43
24FA	C9
24FB	3E
24FC	3B
24FD	0D
24FE	94
24FF	F4
2500	8F
2501	30
2502	ED
2503	02
2504	A0
2505	1C
2506	B4
2507	78
2508	46
2509	A5
250A	15
250B	A6
250C	53
250D	8C
250E	10
250F	28
2510	31
2511	05
2512	0D
2513	EF
2514	2B
2515	E5
2516	37
2517	F8
2518	4F
2519	18
251A	E6
251B	C8
251C	F9
251D	4F
251E	6D
251F	CF
2520	8F
2521	5F
2522	D7
2523	B2
2524	A6
2525	10
2526	80
2527	97
2528	1C
2529	C2
252A	40
252B	ED
252C	A8
252D	C0
252E	0F
252F	B3
2530	30
2531	08
2532	49
2533	3B
2534	3E
2535	DD
2536	53
2537	73
2538	6D
2539	41
253A	3C
253B	57
253C	D7
253D	F5
253E	CD
253F	78
2540	E8
2541	C9
2542	E6
2543	37
2544	85
2545	C7
2546	4C
2547	79
2548	33
2549	A2
254A	A7
254B	D9
254C	36
254D	5A
254E	E8
254F	4E
2550	CD
2551	08
2552	12
2553	C6
2554	45
2555	F6
2556	28
2557	3C
2558	EC
2559	6F
255A	61
255B	19
255C	B1
255D	10
255E	02
255F	6A
2560	CF
2561	DB
2562	A8
2563	F2
2564	CD
2565	83
2566	40
2567	7A
2568	71
2569	F5
256A	FF
256B	9C
256C	C6
256D	C8
256E	14
256F	C5
2570	2D
2571	A4
2572	75
2573	6E
2574	53
2575	93
2576	20
2577	01
2578	97
2579	DF
257A	9B
257B	F7
257C	69
257D	D5
257E	EC
257F	85
2580	D4
2581	4D
2582	43
2583	66
2584	1B
2585	C4
2586	A6
2587	61
2588	EF
2589	EF
258A	D6
258B	2E
258C	69
258D	AB
258E	C3
258F	5F
2590	0C
2591	33
2592	F2
2593	21
2594	3B
2595	E4
2596	8A
2597	F3
2598	24
2599	6E
259A	59
259B	CA
259C	1E
259D	03
259E	E7
259F	11
25A0	3E
25A1	2F
25A2	3A
25A3	A3
25A4	62
25A5	59
25A6	65
25A7	6F
25A8	86
25A9	FC
25AA	90
25AB	C4
25AC	08
25AD	09
25AE	8F
25AF	91
25B0	93
25B1	71
25B2	9F
25B3	F3
25B4	D1
25B5	E8
25B6	FF
25B7	D4
25B8	4F
25B9	76
25BA	65
25BB	67
25BC	DC
25BD	6A
25BE	F4
25BF	17
25C0	9D
25C1	78
25C2	7B
25C3	E4
25C4	6D
25C5	47
25C6	2A
25C7	05
25C8	91
25C9	29
25CA	FB
25CB	BF
25CC	11
25CD	C3
25CE	51
25CF	BF
25D0	34
25D1	D5
25D2	B3
25D3	CE
25D4	91
25D5	9E
25D6	E7
25D7	A3
25D8	53
25D9	49
25DA	27
25DB	A8
25DC	68
25DD	B6
25DE	6D
25DF	5E
25E0	D7
25E1	98
25E2	31
25E3	A2
25E4	E8
25E5	8F
25E6	BD
25E7	76
25E8	49
25E9	E9
25EA	5E
25EB	AF
25EC	79
25ED	67
25EE	3F
25EF	9D
25F0	C5
25F1	91
25F2	09
25F3	A3
25F4	77
25F5	24
25F6	91
25F7	D8
25F8	6B
25F9	C9
25FA	E1
25FB	16
25FC	B6
25FD	80
25FE	8E
25FF	49
2600	49
2601	80
2602	3A
2603	DB
2604	B4
2605	C1
2606	87
2607	82
2608	A6
2609	81
260A	7D
260B	D9
260C	2D
260D	C1
260E	C7
260F	40
2610	4E
2611	BB
2612	16
2613	B0
2614	14
2615	8C
2616	1A
2617	F9
2618	A9
2619	11
261A	E6
261B	FB
261C	5A
261D	4C
261E	47
261F	6F
2620	4D
2621	55
2622	7B
2623	08
2624	79
2625	C6
2626	2E
2627	64
2628	23
2629	CB
262A	FE
262B	F2
262C	D6
262D	81
262E	38
262F	7C
2630	F4
2631	64
2632	A1
2633	03
2634	A9
2635	1D
2636	10
2637	22
2638	61
2639	21
263A	AA
263B	05
263C	BE
263D	3B
263E	43
263F	A8
2640	9E
2641	41
2642	BF
2643	37
2644	CB
2645	7E
2646	FD
2647	4D
2648	46
2649	3C
264A	22
264B	44
264C	CA
264D	A2
264E	C9
264F	E4
2650	52
2651	1A
2652	28
2653	21
2654	04
2655	4F
2656	E2
2657	D2
2658	E1
2659	FA
265A	78
265B	86
265C	DE
265D	32
265E	08
265F	BE
2660	2A
2661	38
2662	AF
2663	69
2664	26
2665	85
2666	AF
2667	2B
2668	4D
2669	D9
266A	96
266B	A8
266C	C5
266D	32
266E	99
266F	82
2670	A1
2671	EE
2672	13
2673	F8
2674	1D
2675	08
2676	A0
2677	8F
2678	45
2679	DD
267A	EB
267B	9A
267C	AC
267D	DE
267E	D4
267F	64
2680	57
2681	F8
2682	C7
2683	F7
2684	D6
2685	0D
2686	9B
2687	55
2688	CB
2689	55
268A	0F
268B	F8
268C	6E
268D	84
268E	82
268F	8C
2690	7F
2691	C9
2692	81
2693	68
2694	45
2695	38
2696	8F
2697	97
2698	EF
2699	7F
269A	C9
269B	75
269C	AD
269D	1D
269E	6E
269F	BE
26A0	CA
26A1	4A
26A2	4F
26A3	0E
26A4	04
26A5	1B
26A6	BF
26A7	98
26A8	EB
26A9	42
26AA	9D
26AB	68
26AC	26
26AD	A4
26AE	9F
26AF	ED
26B0	4B
26B1	02
26B2	AD
26B3	6C
26B4	45
26B5	3A
26B6	47
26B7	9E
26B8	D9
26B9	15
26BA	3C
26BB	5F
26BC	93
26BD	74
26BE	15
26BF	B8
26C0	F9
26C1	10
26C2	4F
26C3	BA
26C4	D3
26C5	EC
26C6	3A
26C7	36
26C8	3E
26C9	D4
26CA	63
26CB	B5
26CC	E2
26CD	48
26CE	07
26CF	A0
26D0	6E
26D1	11
26D2	4B
26D3	B8
26D4	F2
26D5	9C
26D6	59
26D7	1B
26D8	78
26D9	91
26DA	2D
26DB	48
26DC	76
26DD	30
26DE	76
26DF	5B
26E0	3C
26E1	4F
26E2	2F
26E3	82
26E4	3C
26E5	92
26E6	81
26E7	2F
26E8	D8
26E9	09
26EA	7F
26EB	BD
26EC	3E
26ED	E6
26EE	2D
26EF	E0
26F0	C7
26F1	C2
26F2	8A
26F3	E7
26F4	AF
26F5	1C
26F6	E6
26F7	29
26F8	FC
26F9	25
26FA	EA
26FB	9F
26FC	27
26FD	F2
26FE	35
26FF	1D
2700	65
2701	00
2702	D4
2703	7D
2704	C2
2705	B6
2706	69
2707	7F
2708	7D
2709	23
270A	E4
270B	87
270C	62
270D	C6
270E	AF
270F	C9
2710	F1
2711	CD
2712	93
2713	2E
2714	E0
2715	A5
2716	EA
2717	3E
2718	3B
2719	86
271A	E9
271B	A9
271C	BA
271D	CA
271E	64
271F	DE
2720	7C
2721	B1
2722	AD
2723	C8
2724	91
2725	D0
2726	44
2727	40
2728	7D
2729	28
272A	E5
272B	73
272C	A9
272D	CB
272E	77
272F	C0
2730	B2
2731	D8
2732	41
2733	36
2734	27
2735	85
2736	4C
2737	76
2738	36
2739	4B
273A	AE
273B	23
273C	47
273D	00
273E	0A
273F	F5
2740	AA
2741	FF
2742	67
2743	7E
2744	0A
2745	2C
2746	09
2747	47
2748	69
2749	29
274A	87
274B	7B
274C	4A
274D	18
274E	D8
274F	3F
2750	8A
2751	69
2752	17
2753	A3
2754	B2
2755	51
2756	23
2757	0F
2758	0A
2759	81
275A	F4
275B	47
275C	EC
275D	55
275E	7D
275F	95
2760	53
2761	FE
2762	FA
2763	A6
2764	D7
2765	CD
2766	A8
2767	73
2768	7F
2769	73
276A	33
276B	D7
276C	AF
276D	8C
276E	B8
276F	6A
2770	78
2771	BA
2772	90
2773	74
2774	55
2775	FE
2776	DB
2777	2B
2778	E6
2779	9D
277A	2B
277B	A7
277C	A3
277D	A3
277E	B6
277F	60
2780	AF
2781	38
2782	BF
2783	ED
2784	F9
2785	23
2786	1A
2787	F6
2788	9C
2789	7E
278A	35
278B	F7
278C	AF
278D	D9
278E	63
278F	5B
2790	58
2791	E7
2792	9D
2793	67
2794	A2
2795	C0
2796	14
2797	91
2798	4E
2799	FF
279A	32
279B	3B
279C	A3
279D	16
279E	D1
279F	82
27A0	8C
27A1	74
27A2	EB
27A3	EF
27A4	1B
27A5	74
27A6	A5
27A7	B8
27A8	DE
27A9	0A
27AA	66
27AB	15
27AC	46
27AD	72
27AE	9B
27AF	F5
27B0	FF
27B1	84
27B2	8D
27B3	08
27B4	3F
27B5	71
27B6	45
27B7	3B
27B8	BB
27B9	2C
27BA	CA
27BB	9D
27BC	28
27BD	97
27BE	4D
27BF	00
27C0	02
27C1	2E
27C2	63
27C3	21
27C4	12
27C5	EE
27C6	A3
27C7	E9
27C8	7B
27C9	57
27CA	69
27CB	B8
27CC	1B
27CD	88
27CE	4E
27CF	99
27D0	4B
27D1	6A
27D2	10
27D3	8C
27D4	A8
27D5	9D
27D6	85
27D7	05
27D8	87
27D9	D1
27DA	39
27DB	90
27DC	0A
27DD	50
27DE	01
27DF	46
27E0	E2
27E1	50
27E2	B8
27E3	25
27E4	24
27E5	D3
27E6	EE
27E7	C7
27E8	FD
27E9	AE
27EA	75
27EB	6D
27EC	9A
27ED	56
27EE	D0
27EF	D9
27F0	62
27F1	76
27F2	4E
27F3	9C
27F4	F5
27F5	02
27F6	B2
27F7	5B
27F8	85
27F9	11
27FA	05
27FB	98
27FC	32
27FD	3F
27FE	31
27FF	DD
2800	F8
2801	CE
2802	BE
2803	B2
2804	AA
2805	7F
2806	08
2807	78
2808	33
2809	46
280A	66
280B	E3
280C	AE
280D	B6
280E	94
280F	C0
2810	3A
2811	DC
2812	72
2813	59
2814	B9
2815	D0
2816	00
2817	B5
2818	D1
2819	30
281A	95
281B	AA
281C	72
281D	08
281E	F6
281F	C7
2820	7C
2821	68
2822	0D
2823	F9
2824	D5
2825	29
2826	64
2827	88
2828	BB
2829	23
282A	05
282B	14
282C	1E
282D	1F
282E	C5
282F	0A
2830	5B
2831	2B
2832	F4
2833	D5
2834	8D
2835	D1
2836	48
2837	1B
2838	90
2839	1C
283A	52
283B	A4
283C	E7
283D	D4
283E	F1
283F	53
2840	A2
2841	81
2842	08
2843	84
2844	E0
2845	2D
2846	4D
2847	C8
2848	DF
2849	62
284A	32
284B	CF
284C	98
284D	48
284E	9C
284F	21
2850	6D
2851	9F
2852	2F
2853	30
2854	92
2855	EA
2856	B9
2857	D5
2858	2A
2859	E1
285A	6B
285B	95
285C	38
285D	2A
285E	C5
285F	0A
2860	C8
2861	E9
2862	CE
2863	F0
2864	C8
2865	10
2866	6C
2867	B3
2868	BD
2869	BA
286A	EC
286B	5D
286C	67
286D	4C
286E	DC
286F	D9
2870	F5
2871	69
2872	46
2873	74
2874	25
2875	B6
2876	56
2877	9A
2878	F9
2879	6D
287A	27
287B	39
287C	82
287D	53
287E	E2
287F	BC
2880	D3
2881	6D
2882	99
2883	A4
2884	B4
2885	BF
2886	51
2887	E2
2888	66
2889	6B
288A	4F
288B	07
288C	3A
288D	AC
288E	8D
288F	10
2890	CB
2891	DC
2892	24
2893	B1
2894	6D
2895	8C
2896	C4
2897	8B
2898	70
2899	9F
289A	51
289B	04
289C	CA
289D	35
289E	B0
289F	AB
28A0	DC
28A1	AB
28A2	F0
28A3	D3
28A4	EE
28A5	18
28A6	AB
28A7	BD
28A8	4D
28A9	BE
28AA	3A
28AB	40
28AC	9E
28AD	8B
28AE	6B
28AF	D3
28B0	F5
28B1	0F
28B2	14
28B3	12
28B4	D7
28B5	DA
28B6	67
28B7	C6
28B8	AC
28B9	30
28BA	40
28BB	9D
28BC	91
28BD	C5
28BE	D9
28BF	35
28C0	75
28C1	66
28C2	B9
28C3	E8
28C4	BE
28C5	8B
28C6	6C
28C7	AE
28C8	31
28C9	43
28CA	64
28CB	25
28CC	B7
28CD	B4
28CE	59
28CF	45
28D0	4C
28D1	C1
28D2	29
28D3	AA
28D4	38
28D5	1C
28D6	6B
28D7	15
28D8	D0
28D9	38
28DA	95
28DB	31
28DC	C7
28DD	6B
28DE	81
28DF	54
28E0	20
28E1	69
28E2	D0
28E3	7E
28E4	67
28E5	66
28E6	E3
28E7	AA
28E8	E7
28E9	63
28EA	22
28EB	28
28EC	D1
28ED	CF
28EE	6B
28EF	E3
28F0	0C
28F1	79
28F2	B7
28F3	43
28F4	C3
28F5	5A
28F6	DD
28F7	84
28F8	06
28F9	8E
28FA	F1
28FB	E4
28FC	49
28FD	45
28FE	30
28FF	33
2900	3C
2901	BE
2902	E9
2903	C4
2904	F5
2905	85
2906	51
2907	3A
2908	3B
2909	9C
290A	0E
290B	DE
290C	ED
290D	94
290E	BC
290F	90
2910	BF
2911	0F
2912	08
2913	F3
2914	13
2915	7D
2916	9A
2917	B3
2918	D6
2919	40
291A	25
291B	D7
291C	FD
291D	77
291E	5D
291F	FD
2920	47
2921	AA
2922	08
2923	23
2924	56
2925	9D
2926	95
2927	6F
2928	99
2929	44
292A	29
292B	CA
292C	50
292D	92
292E	AD
292F	81
2930	8F
2931	56
2932	F6
2933	44
2934	D0
2935	8C
2936	00
2937	E5
2938	BE
2939	CF
293A	B8
293B	27
293C	EC
293D	58
293E	4C
293F	7D
2940	02
2941	0C
2942	7F
2943	90
2944	47
2945	42
2946	13
2947	FC
2948	63
2949	0F
294A	31
294B	BC
294C	D2
294D	5D
294E	B0
294F	01
2950	97
2951	8D
2952	1B
2953	9D
2954	1E
2955	82
2956	89
2957	DD
2958	1C
2959	E0
295A	C4
295B	FB
295C	AA
295D	05
295E	E5
295F	33
2960	38
2961	C4
2962	EF
2963	0F
2964	87
2965	A1
2966	42
2967	54
2968	7A
2969	A1
296A	45
296B	4A
296C	5B
296D	DD
296E	F3
296F	E4
2970	2A
2971	1B
2972	3F
2973	B6
2974	53
2975	9C
2976	B6
2977	8C
2978	03
2979	68
297A	F3
297B	E7
297C	10
297D	40
297E	EC
297F	2D
2980	91
2981	EB
2982	AD
2983	27
2984	5B
2985	5F
2986	C1
2987	E6
2988	84
2989	5D
298A	C4
298B	99
298C	17
298D	3C
298E	A1
298F	7C
2990	50
2991	97
2992	A5
2993	2F
2994	CB
2995	D1
2996	ED
2997	50
2998	08
2999	5D
299A	F3
299B	68
299C	99
299D	97
299E	4B
299F	ED
29A0	D7
29A1	98
29A2	FF
29A3	F0
29A4	10
29A5	98
29A6	2E
29A7	E1
29A8	C7
29A9	02
29AA	2E
29AB	14
29AC	86
29AD	19
29AE	99
29AF	29
29B0	59
29B1	A7
29B2	3D
29B3	0C
29B4	32
29B5	36
29B6	0F
29B7	DF
29B8	B3
29B9	55
29BA	2A
29BB	BA
29BC	93
29BD	A8
29BE	C3
29BF	CF
29C0	D9
29C1	1D
29C2	0A
29C3	89
29C4	16
29C5	37
29C6	2C
29C7	7D
29C8	D7
29C9	12
29CA	10
29CB	10
29CC	7D
29CD	F1
29CE	C7
29CF	96
29D0	B0
29D1	CA
29D2	09
29D3	7A
29D4	90
29D5	54
29D6	CA
29D7	0D
29D8	A2
29D9	71
29DA	72
29DB	DE
29DC	74
29DD	42
29DE	BB
29DF	80
29E0	CB
29E1	2B
29E2	CE
29E3	84
29E4	C4
29E5	6C
29E6	71
29E7	A9
29E8	F6
29E9	03
29EA	DA
29EB	8F
29EC	15
29ED	FE
29EE	46
29EF	F7
29F0	F9
29F1	6D
29F2	61
29F3	1C
29F4	AB
29F5	86
29F6	9F
29F7	2C
29F8	57
29F9	98
29FA	1D
29FB	4B
29FC	58
29FD	69
29FE	23
29FF	E0
2A00	35
2A01	99
2A02	A1
2A03	57
2A04	67
2A05	73
2A06	0B
2A07	76
2A08	91
2A09	AA
2A0A	49
2A0B	0B
2A0C	A2
2A0D	A0
2A0E	4A
2A0F	51
2A10	46
2A11	60
2A12	EF
2A13	1C
2A14	1C
2A15	D1
2A16	3C
2A17	D3
2A18	7A
2A19	34
2A1A	56
2A1B	09
2A1C	55
2A1D	4E
2A1E	B4
2A1F	21
2A20	D1
2A21	B3
2A22	23
2A23	88
2A24	0D
2A25	C5
2A26	F7
2A27	39
2A28	24
2A29	4D
2A2A	DA
2A2B	4A
2A2C	7A
2A2D	08
2A2E	76
2A2F	C4
2A30	0B
2A31	81
2A32	70
2A33	CF
2A34	CD
2A35	94
2A36	40
2A37	FD
2A38	1C
2A39	BF
2A3A	EC
2A3B	EB
2A3C	13
2A3D	49
2A3E	03
2A3F	46
2A40	BE
2A41	39
2A42	EC
2A43	B6
2A44	EA
2A45	09
2A46	49
2A47	59
2A48	8C
2A49	46
2A4A	49
2A4B	F4
2A4C	12
2A4D	51
2A4E	87
2A4F	31
2A50	31
2A51	98
2A52	45
2A53	C9
2A54	E1
2A55	B3
2A56	D8
2A57	2F
2A58	8E
2A59	B9
2A5A	2F
2A5B	F3
2A5C	05
2A5D	0A
2A5E	E7
2A5F	D1
2A60	41
2A61	2F
2A62	51
2A63	14
2A64	0D
2A65	BD
2A66	FC
2A67	BC
2A68	0E
2A69	A7
2A6A	4C
2A6B	63
2A6C	6A
2A6D	BF
2A6E	BC
2A6F	C7
2A70	BC
2A71	01
2A72	B2
2A73	F5
2A74	D5
2A75	1B
2A76	86
2A77	C9
2A78	5B
2A79	CD
2A7A	1E
2A7B	28
2A7C	BF
2A7D	9F
2A7E	BE
2A7F	4E
2A80	E9
2A81	AB
2A82	F5
2A83	B0
2A84	7B
2A85	85
2A86	F6
2A87	3D
2A88	27
2A89	E8
2A8A	6B
2A8B	5D
2A8C	D8
2A8D	1C
2A8E	C9
2A8F	DA
2A90	17
2A91	3C
2A92	06
2A93	CB
2A94	90
2A95	29
2A96	4D
2A97	ED
2A98	9F
2A99	57
2A9A	02
2A9B	BB
2A9C	DD
2A9D	62
2A9E	00
2A9F	4F
2AA0	AC
2AA1	09
2AA2	76
2AA3	3C
2AA4	80
2AA5	20
2AA6	D1
2AA7	FE
2AA8	23
2AA9	40
2AAA	34
2AAB	F8
2AAC	C6
2AAD	60
2AAE	AB
2AAF	61
2AB0	A1
2AB1	0B
2AB2	34
2AB3	92
2AB4	D6
2AB5	56
2AB6	2E
2AB7	BB
2AB8	93
2AB9	72
2ABA	65
2ABB	8B
2ABC	47
2ABD	E5
2ABE	B5
2ABF	5D
2AC0	DA
2AC1	0B
2AC2	80
2AC3	03
2AC4	50
2AC5	26
2AC6	42
2AC7	0F
2AC8	28
2AC9	C4
2ACA	27
2ACB	A2
2ACC	96
2ACD	A9
2ACE	6B
2ACF	F6
2AD0	EB
2AD1	E5
2AD2	C5
2AD3	3F
2AD4	52
2AD5	BD
2AD6	24
2AD7	1F
2AD8	1E
2AD9	59
2ADA	50
2ADB	7A
2ADC	5E
2ADD	C6
2ADE	D7
2ADF	37
2AE0	31
2AE1	0F
2AE2	EF
2AE3	BB
2AE4	E5
2AE5	AE
2AE6	BF
2AE7	E7
2AE8	76
2AE9	93
2AEA	B6
2AEB	55
2AEC	DC
2AED	A7
2AEE	E3
2AEF	CB
2AF0	66
2AF1	0C
2AF2	37
2AF3	BD
2AF4	83
2AF5	45
2AF6	E7
2AF7	23
2AF8	95
2AF9	6B
